Time,Mass,O2,CO,NO2,NO,SO2,WaterTemp2,WaterTemp3,WaterTemp4,GapTemp,InnerWall,HandleTemp,FireTemp,OutsideSurface
4.209,21.46,11.41,0.59,0.27,0.58,21.31,23.56,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.24,11.05,0.55,0.27,0.6,21.38,23.5,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.36,11.41,0.58,0.27,0.58,21.38,23.5,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.36,11.41,0.58,0.31,0.59,21.38,23.5,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.27,11.53,0.6,0.26,0.59,21.38,23.5,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.36,11.9,0.6,0.3,0.59,21.38,23.5,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.36,12.15,0.58,0.32,0.58,21.38,23.5,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.33,12.39,0.62,0.31,0.58,21.38,23.5,21.19,0.0,0.0,23.75,23.5,22.75,
4.208,21.21,12.27,0.6,0.29,0.58,21.38,23.5,21.19,0.0,0.0,24.0,23.5,22.75,
4.209,21.3,12.51,0.6,0.31,0.6,21.38,23.5,21.19,0.0,0.0,24.0,23.5,23.0,
4.208,21.33,12.63,0.59,0.3,0.55,21.38,23.5,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.43,12.63,0.6,0.27,0.6,21.38,23.5,21.19,0.0,0.0,24.0,23.5,23.0,
4.208,21.27,12.51,0.53,0.27,0.57,21.38,23.5,21.19,0.0,0.0,23.75,23.5,22.75,
4.208,21.27,12.76,0.58,0.29,0.59,21.38,23.5,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.24,13.0,0.59,0.26,0.6,21.38,23.5,21.19,0.0,0.0,24.0,23.5,22.75,
4.209,21.27,13.0,0.57,0.3,0.58,21.38,23.44,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.3,13.12,0.57,0.31,0.62,21.38,23.44,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.36,12.88,0.6,0.31,0.62,21.38,23.44,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.33,13.37,0.6,0.31,0.58,21.38,23.44,21.19,0.0,0.0,24.0,23.5,22.75,
4.209,21.33,13.49,0.58,0.29,0.57,21.38,23.44,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.27,13.37,0.6,0.32,0.59,21.38,23.44,21.19,0.0,0.0,24.0,23.5,22.75,
4.209,21.33,13.98,0.57,0.36,0.6,21.38,23.44,21.19,0.0,0.0,24.0,23.5,22.75,
4.209,21.33,13.98,0.57,0.3,0.6,21.38,23.44,21.19,0.0,0.0,23.75,23.5,22.75,
4.208,21.3,13.98,0.59,0.31,0.58,21.38,23.44,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.4,14.1,0.57,0.32,0.58,21.38,23.44,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.33,13.73,0.59,0.29,0.59,21.38,23.44,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.33,14.1,0.59,0.3,0.58,21.38,23.44,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.27,14.1,0.57,0.3,0.58,21.38,23.44,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.27,14.1,0.57,0.33,0.59,21.38,23.44,21.19,0.0,0.0,24.0,23.5,22.75,
4.209,21.3,14.59,0.57,0.31,0.63,21.38,23.38,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.21,14.59,0.59,0.32,0.59,21.38,23.38,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.4,14.71,0.59,0.29,0.55,21.38,23.38,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.43,14.59,0.59,0.29,0.57,21.38,23.38,21.19,0.0,0.0,23.75,23.5,22.75,
4.208,21.24,14.96,0.59,0.3,0.59,21.38,23.38,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.3,14.59,0.58,0.26,0.57,21.38,23.38,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.27,14.71,0.57,0.31,0.55,21.38,23.38,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.36,15.08,0.6,0.3,0.62,21.38,23.38,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.3,15.08,0.59,0.32,0.59,21.38,23.38,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.3,15.32,0.6,0.3,0.59,21.38,23.38,21.19,0.0,0.0,24.0,23.5,22.75,
4.208,21.27,15.32,0.6,0.33,0.58,21.38,23.38,21.19,0.0,0.0,23.75,23.5,22.75,
4.208,21.3,15.93,0.58,0.35,0.58,21.38,23.38,21.19,0.0,0.0,23.75,23.5,23.0,
4.208,21.21,15.69,0.58,0.32,0.57,21.38,23.38,21.19,0.0,0.0,23.75,23.5,22.75,
4.208,21.33,16.06,0.55,0.33,0.55,21.38,23.38,21.19,0.0,0.0,23.75,23.5,22.75,
4.208,21.36,16.06,0.57,0.32,0.57,21.38,23.38,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.3,15.93,0.59,0.33,0.59,21.38,23.38,21.19,0.0,0.0,23.75,23.5,22.75,
4.208,21.21,16.18,0.54,0.27,0.55,21.38,23.31,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.36,16.42,0.58,0.33,0.6,21.38,23.38,21.19,0.0,0.0,23.75,23.5,23.0,
4.208,21.27,16.67,0.54,0.33,0.58,21.38,23.38,21.19,0.0,0.0,23.75,23.5,23.0,
4.209,21.36,16.3,0.6,0.27,0.6,21.38,23.38,21.19,0.0,0.0,23.75,23.5,23.0,
4.208,21.3,16.79,0.57,0.29,0.58,21.38,23.38,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.36,16.91,0.59,0.35,0.52,21.38,23.31,21.19,0.0,0.0,23.75,23.5,23.0,
4.208,21.33,17.16,0.55,0.29,0.58,21.38,23.38,21.19,0.0,0.0,23.75,23.5,23.0,
4.208,21.4,17.52,0.57,0.3,0.57,21.38,23.38,21.19,0.0,0.0,23.75,23.5,22.75,
4.208,21.3,17.64,0.57,0.31,0.57,21.38,23.31,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.36,17.52,0.55,0.3,0.58,21.38,23.38,21.19,0.0,0.0,23.75,23.5,22.75,
4.209,21.3,18.38,0.55,0.29,0.62,21.38,23.31,21.19,0.0,0.0,23.75,23.5,22.75,
4.205,21.36,50.51,0.65,0.37,0.65,25.88,22.19,21.25,0.0,0.0,24.0,23.75,23.0,
